TABLE11_ENV,tfhe_rs=0.8.7,parameter=PARAM_MESSAGE_6_CARRY_0_KS_PBS,packing=base_t_groups_of_3,repetitions=30
TABLE11_RESULT,symbol_set_threshold,2,3:0:0:3:2:0,1,277.527685
TABLE11_RESULT,symbol_set_threshold,3,3:2:1:1:2:3,0,272.042326
TABLE11_RESULT,symbol_set_threshold,4,3:3:0:1:1:2,0,273.000957
TABLE11_RESULT,symbol_set_threshold,5,0:2:1:3:0:3,1,274.332439
TABLE11_RESULT,symbol_set_threshold,6,2:3:2:0:3:1,1,273.555593
TABLE11_RESULT,symbol_set_threshold,7,3:0:3:3:2:0,1,277.907584
TABLE11_RESULT,symbol_set_threshold,8,2:3:1:2:1:3,0,278.911143
TABLE11_RESULT,symbol_set_threshold,9,1:0:2:3:1:3,0,275.862564
TABLE11_RESULT,symbol_set_threshold,10,1:3:2:2:1:3,0,279.174475
TABLE11_RESULT,symbol_set_threshold,11,0:0:3:0:0:2,1,278.265776
TABLE11_RESULT,symbol_set_threshold,12,0:3:0:0:3:2,1,274.534678
TABLE11_RESULT,symbol_set_threshold,13,2:3:2:3:0:2,1,276.080165
TABLE11_RESULT,symbol_set_threshold,14,0:3:2:0:2:3,1,291.153552
TABLE11_RESULT,symbol_set_threshold,15,0:1:3:2:3:0,1,275.282313
TABLE11_RESULT,symbol_set_threshold,16,1:3:3:1:2:0,0,275.630186
TABLE11_RESULT,symbol_set_threshold,17,0:0:2:2:3:0,1,277.109544
TABLE11_RESULT,symbol_set_threshold,18,3:3:1:2:1:1,0,275.426841
TABLE11_RESULT,symbol_set_threshold,19,0:2:0:3:1:1,1,273.863794
TABLE11_RESULT,symbol_set_threshold,20,0:2:2:1:1:0,1,274.934149
TABLE11_RESULT,symbol_set_threshold,21,3:1:1:0:1:0,0,274.058806
TABLE11_RESULT,symbol_set_threshold,22,3:0:1:2:2:0,1,275.315227
TABLE11_RESULT,symbol_set_threshold,23,2:0:2:3:0:1,1,278.445531
TABLE11_RESULT,symbol_set_threshold,24,2:3:0:2:3:0,1,273.994338
TABLE11_RESULT,symbol_set_threshold,25,1:3:0:0:2:1,1,275.733896
TABLE11_RESULT,symbol_set_threshold,26,0:3:3:1:0:2,1,275.616290
TABLE11_RESULT,symbol_set_threshold,27,0:0:0:0:3:1,1,273.230015
TABLE11_RESULT,symbol_set_threshold,28,3:2:1:3:1:1,0,274.688705
TABLE11_RESULT,symbol_set_threshold,29,3:0:3:2:1:0,1,275.328460
TABLE11_SUMMARY,symbol_set_threshold,4,6,3,6,explicit count representation,,275.992643,3.357248,275.426841,272.042326,291.153552
TABLE11_PACKING,lower_median,group_size=3,packed_inner_calls=2,outer_calls=1,total_calls=3
TABLE11_RESULT,lower_median,0,0:0:0:0:0:1,0,275.858033
TABLE11_RESULT,lower_median,1,1:2:0:0:2:1,1,272.476085
TABLE11_RESULT,lower_median,2,0:0:2:2:0:2,0,274.130075
TABLE11_RESULT,lower_median,3,2:0:2:1:2:0,1,274.086762
TABLE11_RESULT,lower_median,4,2:1:2:0:2:0,1,276.651944
TABLE11_RESULT,lower_median,5,0:1:1:0:1:2,1,274.180929
TABLE11_RESULT,lower_median,6,2:1:1:1:0:0,1,273.400224
TABLE11_RESULT,lower_median,7,0:2:0:1:2:1,1,276.016542
TABLE11_RESULT,lower_median,8,2:2:1:0:1:0,1,277.423197
TABLE11_RESULT,lower_median,9,0:0:2:0:1:0,0,275.525049
TABLE11_RESULT,lower_median,10,1:1:1:1:1:2,1,277.445541
TABLE11_RESULT,lower_median,11,0:1:0:2:0:1,0,272.102991
TABLE11_RESULT,lower_median,12,0:1:2:2:1:1,1,273.455571
TABLE11_RESULT,lower_median,13,0:1:1:0:2:1,1,278.609364
TABLE11_RESULT,lower_median,14,0:2:0:2:2:2,2,275.658612
TABLE11_RESULT,lower_median,15,2:2:1:2:0:2,2,272.712070
TABLE11_RESULT,lower_median,16,2:2:2:1:0:2,2,277.026026
TABLE11_RESULT,lower_median,17,0:1:1:2:1:0,1,279.871406
TABLE11_RESULT,lower_median,18,1:0:0:1:0:0,0,272.555274
TABLE11_RESULT,lower_median,19,0:1:0:0:1:0,0,276.382416
TABLE11_RESULT,lower_median,20,2:0:2:1:2:1,1,272.063743
TABLE11_RESULT,lower_median,21,0:0:0:0:2:2,0,276.503042
TABLE11_RESULT,lower_median,22,1:0:1:1:0:1,1,272.600110
TABLE11_RESULT,lower_median,23,1:2:1:1:0:1,1,272.518134
TABLE11_RESULT,lower_median,24,1:2:2:2:0:1,1,274.647607
TABLE11_RESULT,lower_median,25,0:0:0:2:2:1,0,272.559738
TABLE11_RESULT,lower_median,26,0:1:2:0:0:0,0,272.898445
TABLE11_RESULT,lower_median,27,0:0:1:2:2:0,0,274.302002
TABLE11_RESULT,lower_median,28,1:2:0:1:0:2,1,282.399639
TABLE11_RESULT,lower_median,29,0:1:2:1:0:0,0,271.926284
TABLE11_SUMMARY,lower_median,3,6,3,42,deterministic symmetric simulated annealing,20260810,274.932895,2.522332,274.302002,271.926284,282.399639
TABLE11_SEARCH,lower_median,iterations=20000
