case_id,repetition,inputs,actual,online_ms
lower_median,6,2:1:1:1:0:0,1,273.400224
lower_median,7,0:2:0:1:2:1,1,276.016542
lower_median,8,2:2:1:0:1:0,1,277.423197
lower_median,9,0:0:2:0:1:0,0,275.525049
lower_median,10,1:1:1:1:1:2,1,277.445541
lower_median,11,0:1:0:2:0:1,0,272.102991
lower_median,12,0:1:2:2:1:1,1,273.455571
lower_median,13,0:1:1:0:2:1,1,278.609364
lower_median,14,0:2:0:2:2:2,2,275.658612
lower_median,15,2:2:1:2:0:2,2,272.71207
lower_median,16,2:2:2:1:0:2,2,277.026026
lower_median,17,0:1:1:2:1:0,1,279.871406
lower_median,18,1:0:0:1:0:0,0,272.555274
lower_median,19,0:1:0:0:1:0,0,276.382416
lower_median,20,2:0:2:1:2:1,1,272.063743
lower_median,21,0:0:0:0:2:2,0,276.503042
lower_median,22,1:0:1:1:0:1,1,272.60011
lower_median,23,1:2:1:1:0:1,1,272.518134
lower_median,24,1:2:2:2:0:1,1,274.647607
lower_median,25,0:0:0:2:2:1,0,272.559738
lower_median,26,0:1:2:0:0:0,0,272.898445
lower_median,27,0:0:1:2:2:0,0,274.302002
lower_median,28,1:2:0:1:0:2,1,282.399639
lower_median,29,0:1:2:1:0:0,0,271.926284
